variant,metric_01,metric_02,metric_03,metric_04,metric_05,metric_06,metric_07,metric_08,metric_09,metric_10,metric_11,metric_12,metric_13,metric_14,metric_15,metric_16,metric_17,metric_18,metric_19,metric_20
A,72.43,62.972,40.399,51.331,57.742,58.571,50.627,39.953,58.447,39.489,38.252,67.264,41.79,51.667,66.376,24.223,39.488,54.956,26.079,60.544
A,53.65,41.888,44.963,43.182,39.254,44.004,43.251,62.386,57.865,42.703,65.942,61.096,55.641,60.206,51.39,28.312,41.979,45.196,44.353,50.416
A,35.597,63.992,43.689,44.141,49.097,45.421,58.98,58.749,48.182,66.414,54.167,43.016,46.056,55.211,51.233,44.968,36.539,54.158,61.598,44.749
A,41.315,57.065,50.895,66.803,58.405,45.392,37.696,42.286,49.052,60.533,60.234,26.457,48.544,59.678,60.279,41.962,48.429,37.596,43.166,58.379
A,59.51,67.516,40.137,43.322,46.09,49.73,57.269,39.778,64.808,62.561,45.942,48.421,68.071,48.362,55.686,55.394,31.619,47.941,42.26,56.273
A,17.673,65.504,44.026,58.42,52.244,50.912,38.723,40.784,46.142,47.927,42.448,77.24,51.022,33.837,43.854,44.475,52.299,41.296,51.495,52.882
A,62.661,62.392,61.986,56.108,36.231,27.743,45.619,23.637,35.692,53.319,49.95,63.029,49.406,49.088,50.627,46.779,47.139,38.214,60.602,59.841
A,41.823,57.949,55.107,44.455,49.716,36.091,52.972,63.533,49.815,49.229,42.109,28.706,30.917,55.964,53.191,50.809,48.079,54.814,38.016,62.792
A,51.777,49.621,41.231,61.039,55.914,57.744,67.508,55.127,50.991,71.794,45.303,33.867,46.435,54.178,68.795,45.909,56.462,43.06,47.175,52.398
A,34.647,52.553,63.695,54.35,50.926,52.27,75.003,37.971,62.47,54.577,53.862,64.828,44.356,47.022,30.96,54.498,33.727,42.458,61.091,49.516
A,50.9,57.706,64.956,56.957,56.0,58.551,46.336,37.079,55.125,42.173,60.926,35.194,59.138,58.079,37.432,69.36,51.021,40.604,65.874,54.64
A,29.663,39.947,28.673,65.621,59.565,34.411,54.579,54.689,64.137,48.269,62.638,42.566,52.349,44.675,38.861,56.021,50.029,53.263,52.359,38.57
A,51.587,72.326,42.836,31.992,50.605,54.873,42.236,27.278,54.794,46.028,60.88,24.034,54.845,39.402,41.313,49.089,55.211,40.28,42.788,48.979
A,39.866,54.503,60.709,43.65,61.792,51.904,42.602,50.731,49.451,48.49,58.194,48.831,53.271,59.775,56.164,55.485,52.488,33.229,68.352,40.62
A,49.381,38.051,47.011,33.64,72.049,55.023,62.871,52.545,67.385,68.406,29.32,44.415,59.402,52.472,41.291,59.407,51.107,58.472,49.03,55.165
A,63.21,58.754,48.201,59.592,62.362,26.253,50.281,62.349,54.109,53.488,35.21,58.177,44.801,35.135,25.546,48.975,41.468,45.68,49.774,50.713
A,32.425,50.408,47.588,60.971,36.622,55.775,32.845,33.798,38.657,33.949,43.004,45.749,59.419,57.586,53.875,70.655,52.225,60.769,40.989,20.478
A,62.74,53.896,47.657,54.679,59.977,69.446,49.601,51.21,35.936,46.562,76.092,47.959,56.433,47.364,61.093,59.017,55.2,43.734,41.066,30.717
A,46.446,34.757,36.151,63.663,56.339,59.7,52.743,65.748,52.721,42.391,59.463,49.187,48.084,54.708,64.825,54.918,59.524,49.655,43.955,34.013
A,44.837,37.769,44.9,41.693,58.166,44.879,60.593,46.941,37.79,50.155,56.285,33.499,54.271,49.224,44.392,44.163,53.334,53.922,67.811,50.957
